id,age,expierense_years,salary,city_index,tax_number
100,17,17,898.88,9694,514862
101,60,16,1619.03,7817,70066
102,50,20,2528.71,6959,943557
103,58,17,817.04,8489,310269
104,29,17,2601.05,5776,45957
105,39,7,610.02,5697,507546
106,47,1,424.58,9936,51865
107,36,18,912.75,6625,65484
108,31,6,2996.21,8483,367130
109,24,11,389.68,7933,97361
110,40,5,225.01,6339,931628
111,24,2,2696.72,6556,916505
112,22,9,2582.02,5995,948225
113,29,17,2504.84,6345,331746
114,49,13,1668.26,5113,360125
115,24,11,2211.08,6341,304107
116,41,17,2829.99,9894,152743
117,52,15,1980,8833,797585
118,33,17,103.24,9404,332478
119,36,17,1106.03,7002,655665
120,53,1,2894.39,5624,228990
121,21,10,2135.81,8879,893249
122,49,7,278.42,8669,911817
123,25,0,211.48,9398,899082
124,29,13,1508.53,7727,893116
125,20,15,1691.23,5122,850847
126,23,14,1300.83,6206,631580
127,34,8,1872.33,9852,793021
128,28,15,862.56,6124,294953
129,36,3,561.74,6276,332263
130,35,15,1283.91,9634,931043
131,39,12,1708,7799,703581
132,60,4,1737.7,9148,301806
133,42,2,2073.81,8231,107549
134,57,16,2704.8,6779,500112
135,56,9,2074.36,6678,188060
136,26,0,2289.57,6589,312070
137,54,17,2682.52,8921,787317
138,46,3,925.88,9216,770869
139,42,17,964.64,6239,779395
140,27,13,2580.06,5245,923081
141,25,3,2681.2,8373,140802
142,28,3,921.82,8943,945266
143,55,13,2554.38,6634,840651
144,46,8,2998.83,6632,445825
145,18,12,2297.31,5198,723740
146,46,16,2616.34,6531,828671
147,60,4,29.83,9969,477643
148,23,14,2564.7,8561,682130
149,51,15,1808.71,5051,983598
150,53,3,937.26,6073,770988
151,28,2,1382.3,6870,746500
152,44,20,2918.52,6867,92511
153,23,11,1910.72,5707,183123
154,47,2,2605.5,7979,730055
155,21,12,1452.24,7257,664385
156,16,3,74.04,6206,277236
157,18,7,695.54,8616,420223
158,56,3,1323.67,5250,938299
159,57,10,1328.66,6033,71611
160,23,5,1265.03,8906,774645
161,37,4,2349.2,8038,194654
162,38,4,2760.89,5564,120600
163,34,7,927.26,5060,466954
164,56,6,766.51,9836,310391
165,51,17,1624.27,5887,921392
166,36,5,1269.08,6240,383524
167,41,18,523.02,8116,768823
168,57,0,1082.24,9396,407018
169,42,4,839.46,7740,19772
170,53,7,380.76,9201,218823
171,30,11,204.47,6225,254625
172,33,1,1801.66,9467,573915
173,26,13,1926.23,6105,393359
174,55,1,719.6,6901,143411
175,57,9,847.96,9314,626355
176,23,16,1040.58,6283,289138
177,23,20,683.67,8159,79445
178,37,16,2290.81,9951,545036
179,20,4,2479.54,9459,235151
180,33,4,1968.78,9310,492685
181,39,20,2763.04,9800,328604
182,26,16,2466.59,7039,114324
183,46,5,2359.81,5979,414275
184,19,0,974.95,6025,140130
185,16,14,2588.79,8824,989184
186,25,5,1026.47,5924,184069
187,16,8,518.53,7055,464297
188,23,5,2783.78,8889,680074
189,38,9,2140.48,9220,380618
190,26,19,1508.01,5415,365994
191,57,17,985.08,8788,506456
192,59,11,338.6,8379,827152
193,35,12,835.86,9407,675322
194,39,16,150.16,5288,723519
195,58,20,441.83,6467,507503
196,17,12,2273.63,8912,880757
197,52,11,356.64,6841,650564
198,22,10,2119.78,8526,349583
199,56,9,1048.26,7581,325017
200,37,12,359.67,5297,902098
201,47,6,779.21,8602,331717
202,33,13,171,7552,197000
203,46,0,143.95,9041,502774
204,40,11,1234.34,8373,931723
205,39,8,1169.88,7521,800368
206,53,17,571.5,6453,333734
207,22,12,2448.85,8213,638625
208,27,10,2111.06,8384,247221
209,55,1,403.07,6326,241756
210,16,17,2643.23,8138,227105
211,36,16,208.33,7901,571419
212,37,0,1344.38,5351,764653
213,37,15,676.08,5748,121
214,40,3,1092.19,7290,916668
215,16,20,1244.87,7315,885949
216,34,1,2993.6,6872,498816
217,45,18,1947.92,6800,672072
218,53,3,912.92,6850,99926
219,43,2,2781.64,5778,912028
220,16,19,1997.69,8233,569176
221,59,6,2098.65,5978,994190
222,28,20,55.27,6290,284785
223,30,1,2412.11,7293,306300
224,34,7,976.9,9023,127754
225,42,12,773.8,7317,574019
226,57,0,122.56,7920,145291
227,17,19,1713.6,6045,403784
228,40,19,1908.31,6193,81816
229,27,13,795.54,8508,218859
230,20,3,1997.58,9496,770999
231,43,15,1809.52,7795,213954
232,53,11,2866.78,5263,887523
233,25,15,715.87,9211,353434
234,29,13,2615.87,5747,897250
235,59,20,1961.74,7103,768769
236,51,18,1848.01,6516,332769
237,55,1,2417.82,5660,227851
238,46,2,1997.7,8940,665067
239,49,0,2970.57,6855,955416
240,54,15,1019.72,6433,669070
241,42,16,1944.24,7520,418849
242,19,14,1918.46,7530,620524
243,22,15,2511.9,8332,861708
244,34,3,2963.2,6050,700595
245,57,17,1523.86,5097,153431
246,58,17,629.12,9470,304631
247,34,10,1200.74,7518,901642
248,46,0,1284.69,6050,904870
249,30,4,1381.42,8134,715411
250,19,12,896.65,8417,650654
251,40,2,115.64,6698,127705
252,16,11,1383.52,8182,946705
253,16,12,1969.99,9329,588438
254,53,6,20.56,9495,961911
255,29,3,248.86,7214,287246
256,32,18,1216.62,7586,920106
257,58,12,1105.16,5608,218314
258,20,18,2895.5,8939,619071
